population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life table,Spain,Female,10-14 years,Probability of death,2023,0.0004036828726441233,0.00044176800838819643,0.00036626238368310244
All Population,Life table,Spain,Male,15-19 years,Probability of death,2023,0.001216389130106886,0.00130695102589731,0.0011293475338827047
All Population,Life table,Spain,Female,15-19 years,Probability of death,2023,0.0006834464418008229,0.0007489302913583629,0.0006233952789490987
All Population,Life table,Spain,Male,20-24 years,Probability of death,2023,0.0022687464225053786,0.002423507372682762,0.002108415768295352
All Population,Life table,Spain,Female,20-24 years,Probability of death,2023,0.0008890807810491724,0.00097370952827239,0.000815978393166189
All Population,Life table,Spain,Male,25-29 years,Probability of death,2023,0.002575497551176683,0.002760038255195954,0.002405128879119822
All Population,Life table,Spain,Female,25-29 years,Probability of death,2023,0.0010414868593165347,0.001132530714518079,0.0009574829947144314
All Population,Life table,Spain,Male,30-34 years,Probability of death,2023,0.0033370323696247086,0.0035483252238988653,0.0031328429300988697
All Population,Life table,Spain,Female,30-34 years,Probability of death,2023,0.0014619156819865597,0.0015766727912480986,0.0013574438879424416
All Population,Life table,Spain,Male,35-39 years,Probability of death,2023,0.004544582886530977,0.004799076172025485,0.004290271858315925
All Population,Life table,Spain,Female,35-39 years,Probability of death,2023,0.0021349995537771386,0.0022851647783117576,0.001988460783744772
All Population,Life table,Spain,Male,40-44 years,Probability of death,2023,0.006631297827829259,0.006939806344764418,0.006326115295102672
All Population,Life table,Spain,Female,40-44 years,Probability of death,2023,0.003451193833916807,0.0036644012098539873,0.003252836477259763
All Population,Life table,Spain,Male,45-49 years,Probability of death,2023,0.010198528131877401,0.010590424462599501,0.009814780014240469
All Population,Life table,Spain,Female,45-49 years,Probability of death,2023,0.005454297473123035,0.0057277653555452305,0.005179691109880349
All Population,Life table,Spain,Male,50-54 years,Probability of death,2023,0.017446795721860597,0.017999769428700053,0.01689315251305531
All Population,Life table,Spain,Female,50-54 years,Probability of death,2023,0.00891407243782452,0.009341610978127274,0.008492702461890368
All Population,Life table,Spain,Male,55-59 years,Probability of death,2023,0.02979760321224864,0.030568672578079426,0.02905679289571795
All Population,Life table,Spain,Female,55-59 years,Probability of death,2023,0.01448143037050739,0.015038364275622513,0.013959921550419233
All Population,Life table,Spain,Male,60-64 years,Probability of death,2023,0.04691221354036157,0.04797494622483914,0.045802616409335875
All Population,Life table,Spain,Female,60-64 years,Probability of death,2023,0.02229845153819068,0.023066953629167743,0.0215832419414455
All Population,Life table,Spain,Male,65-69 years,Probability of death,2023,0.07087796970252877,0.07232361647925091,0.06944457527872054
All Population,Life table,Spain,Female,65-69 years,Probability of death,2023,0.03317738586162116,0.03416370554896326,0.032219523122659785
All Population,Life table,Spain,Male,70-74 years,Probability of death,2023,0.10323996605918946,0.10507095058405377,0.10143734249096269
All Population,Life table,Spain,Female,70-74 years,Probability of death,2023,0.04961269037111086,0.050942701344719524,0.04831374834762962
All Population,Life table,Spain,Male,75-79 years,Probability of death,2023,0.16631226725365708,0.16883598215091136,0.1638592384710635
All Population,Life table,Spain,Female,75-79 years,Probability of death,2023,0.08828750679704808,0.08993451816201974,0.08653675737311867
All Population,Life table,Spain,Male,80-84 years,Probability of death,2023,0.27023081038526486,0.27397216365913185,0.2666982642296559
All Population,Life table,Spain,Female,80-84 years,Probability of death,2023,0.16912807265269525,0.17170268559094198,0.16643689857056654
All Population,Life table,Spain,Male,85-89 years,Probability of death,2023,0.4235571839387351,0.4282320591899467,0.41900310437129673
All Population,Life table,Spain,Female,85-89 years,Probability of death,2023,0.3193021181934085,0.32298136695193536,0.31587088016501685
All Population,Life table,Spain,Male,90-94 years,Probability of death,2023,0.6596089248153435,0.6657470260729903,0.6530011472280883
All Population,Life table,Spain,Female,90-94 years,Probability of death,2023,0.5786347418787888,0.5837908830282501,0.5734482940619532
All Population,Life table,Spain,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Spain,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Sweden,Male,10-14 years,Probability of death,2023,0.00039088713694243246,0.0004293984357070068,0.0003508918462721139
All Population,Life table,Sweden,Female,10-14 years,Probability of death,2023,0.0003954138778910029,0.00043910040064426006,0.0003565591633441667
All Population,Life table,Sweden,Male,15-19 years,Probability of death,2023,0.0016457177920633217,0.0017979845274426393,0.001504683561513942
All Population,Life table,Sweden,Female,15-19 years,Probability of death,2023,0.0007105911256326172,0.0007900413543373924,0.000636955218230062
All Population,Life table,Sweden,Male,20-24 years,Probability of death,2023,0.0029156488147939045,0.0031634239768267842,0.0026783763375483162
All Population,Life table,Sweden,Female,20-24 years,Probability of death,2023,0.0010333884033557608,0.0011472682528708533,0.0009284316871893378
All Population,Life table,Sweden,Male,25-29 years,Probability of death,2023,0.0032533415587643823,0.003552690284837387,0.0029712390548403992
